Water Year,Date,Gage Height (feet),Streamflow (cfs),
1958,9/21/1958,17.5,"15,900",
1959,4/18/1959,14.5,"6,100",
1960,2/24/1960,12.77,"2,620",
1961,3/17/1961,13.95,"5,000",
1962,12/10/1961,13.2,"3,200",
1963,12/29/1962,11.58,"1,220",
1964,4/5/1964,13.38,"4,000",
1965,2/12/1965,11.78,"1,380",
1966,2/10/1966,14.04,"5,100",
1967,6/2/1967,10.7,620,
1968,4/9/1968,16.82,"13,200",
1969,4/13/1969,14.14,"5,300",
1970,3/4/1970,12.2,"1,580",
1971,8/6/1971,6.97,225,
1972,1/30/1972,11.42,860,
1973,4/18/1973,14.15,"5,200",
1974,1/19/1974,14,"5,100",
1975,5/4/1975,13.86,"4,800",
1976,2/22/1976,10.75,714,
1977,2/12/1977,12.27,"1,690",
1978,9/14/1978,18.02,"18,200",
1979,2/24/1979,16.68,"12,700",
1980,5/16/1980,13.73,"4,530",
1981,6/6/1981,12.08,"1,420",
1982,4/17/1982,13.28,"3,630",
1983,5/20/1983,13.29,"3,650",
1984,12/10/1983,15.16,"7,750",
1985,2/11/1985,12.83,"2,760",
1986,11/26/1985,12.96,"2,990",
1987,11/25/1986,15.09,"7,560",
1988,4/2/1988,12.96,"2,990",
1989,5/18/1989,16.59,"12,400",
1990,6/1/1990,14.04,"4,970",
1991,4/18/1991,15.15,"7,460",
1992,2/25/1992,13.05,"2,970",
1993,1/20/1993,12.55,"2,320",
1994,2/23/1994,13.7,"4,470",
1995,3/7/1995,16.04,"10,400",
1996,12/19/1995,12.06,"1,560",
1997,2/13/1997,14.02,"5,140",
1998,1/7/1998,14.7,"6,580",
1999,11/15/1998,12.68,"1,980",
2000,5/10/2000,12.44,"2,170",
2001,2/28/2001,13.17,"3,380",
2002,12/12/2001,14.32,"5,740",
2003,11/5/2002,13.18,"3,400",
2004,3/1/2004,13.08,"3,210",
2005,2/7/2005,13.78,"4,630",
2006,2/2/2006,13.38,"3,810",
2007,1/14/2007,15.34,"8,260",
2008,3/30/2008,21.14,"42,100",
2009,3/14/2009,12.58,"1,800",
2010,12/24/2009,14.09,"4,720",
2011,1/31/2011,6.37,4354,
2012,9/30/2012,14.47,"5,680",
2013,1/10/2013,11.41,690,
2014,10/31/2013,14.16,"4,890",
2015,5/19/2015,13.79,"4,040",
2016,3/9/2016,15.93,"11,100",
2017,8/30/2017,17.49,"157,009",
2018,3/29/2018,14.56,"6,050",
2019,12/8/2018,15.74,"9,010",
2020,4/20/2020,14.37,"4,960",
2021,5/10/2021,17.01,"13,400",
2022,3/23/2022,12.93,"3,00",
